payee_id,profile_type,label_fraud_like,account_age,transaction_count,incoming_volume,outgoing_volume,transaction_velocity,unique_senders,complaint_count,complaint_rate,successful_transaction_ratio,refund_ratio,suspicious_counterparty_count,transaction_concentration,incoming_outgoing_ratio
payee_000128,TRUSTED_MERCHANT,0,1392,18387,146332.72,14879.36,13.2091,4724,3,0.0002,0.9325,0.0415,1,0.0571,9.8346
payee_000129,NORMAL_USER,0,1753,305,12441.32,12893.32,0.174,51,0,0.0,1.0,0.1094,0,0.2106,0.9649
payee_000130,TRUSTED_MERCHANT,0,1432,1407,103926.93,11504.75,0.9825,4622,0,0.0,0.981,0.0552,1,0.0578,9.0334
payee_000131,SUSPICIOUS_ACCOUNT,1,73,127,5507.33,4080.67,1.7397,25,5,0.0394,0.7891,0.3093,1,0.4012,1.3496
payee_000132,NORMAL_USER,0,1448,269,7711.29,24448.49,0.1858,38,1,0.0037,0.9638,0.063,0,0.1785,0.3154
payee_000133,NORMAL_USER,0,797,168,15978.09,10266.0,0.2108,12,0,0.0,0.9519,0.0944,0,0.2739,1.5564
payee_000134,NORMAL_USER,0,1761,208,35356.77,16509.04,0.1181,56,0,0.0,0.9352,0.0749,0,0.2262,2.1417
payee_000135,TRUSTED_MERCHANT,0,394,5146,82845.68,5402.04,13.0609,1674,0,0.0,0.9448,0.0088,2,0.0588,15.336
payee_000136,CONFIRMED_SCAM_LIKE,1,38,29,25121.41,27421.77,0.7632,100,8,0.2759,0.5349,0.5694,4,0.5323,0.9161
payee_000137,NORMAL_USER,0,1309,270,14066.33,16405.46,0.2063,52,1,0.0037,0.9447,0.0784,0,0.2892,0.8574
payee_000138,REPORTED_LEGITIMATE,0,1042,2738,24602.76,4923.62,2.6276,736,1,0.0004,0.7984,0.0524,0,0.2723,4.9969
payee_000139,TRUSTED_MERCHANT,0,773,19497,184225.94,10017.1,25.2225,4009,1,0.0001,0.9704,0.0,0,0.0532,18.3911
payee_000140,NORMAL_USER,0,897,115,6225.55,5158.16,0.1282,56,1,0.0087,0.84,0.0634,0,0.3328,1.2069
payee_000141,NORMAL_USER,0,726,118,5508.77,19044.62,0.1625,33,0,0.0,0.8419,0.0723,0,0.2787,0.2893
payee_000142,SUSPICIOUS_ACCOUNT,1,98,21,18139.75,17749.53,0.2143,128,2,0.0952,0.6213,0.1306,4,0.4157,1.022
payee_000143,NORMAL_USER,0,291,232,6807.52,9250.41,0.7973,16,1,0.0043,0.7973,0.0137,0,0.2283,0.7359
payee_000144,NORMAL_USER,0,1947,163,17923.22,6833.08,0.0837,2,0,0.0,0.983,0.0524,0,0.1131,2.623
payee_000145,NORMAL_USER,0,515,119,19661.93,6429.83,0.2311,11,0,0.0,0.975,0.1289,0,0.3468,3.0579
payee_000146,NORMAL_USER,0,1946,253,8811.01,11326.99,0.13,20,0,0.0,1.0,0.0,0,0.3111,0.7779
payee_000147,NORMAL_USER,0,805,396,27912.49,13248.69,0.4919,8,0,0.0,0.9004,0.0733,1,0.2141,2.1068
payee_000148,NORMAL_USER,0,233,135,7975.33,11715.06,0.5794,2,1,0.0074,0.9473,0.0309,0,0.3849,0.6808
payee_000149,TRUSTED_MERCHANT,0,851,18424,92785.85,24418.27,21.6498,2961,3,0.0002,0.9182,0.0222,0,0.0243,3.7999
payee_000150,REPORTED_LEGITIMATE,0,1140,2180,30105.63,7193.48,1.9123,255,5,0.0023,0.9813,0.1008,1,0.0743,4.1851
payee_000151,SUSPICIOUS_ACCOUNT,1,77,116,10712.49,6660.99,1.5065,78,3,0.0259,0.7371,0.1616,1,0.6326,1.6082
payee_000152,TRUSTED_MERCHANT,0,1662,4824,67636.74,11544.85,2.9025,750,1,0.0002,0.9635,0.0,0,0.0475,5.8586
payee_000153,NORMAL_USER,0,1985,126,15289.56,16241.33,0.0635,32,1,0.0079,0.8133,0.0,0,0.2121,0.9414
payee_000154,TRUSTED_MERCHANT,0,3403,11715,56909.14,13265.12,3.4426,532,4,0.0003,0.9772,0.0,0,0.0703,4.2901
payee_000155,NEW_ACCOUNT,0,11,6,2585.24,3575.52,0.5455,6,2,0.3333,0.8419,0.0964,0,0.3164,0.723
payee_000156,NORMAL_USER,0,679,374,6529.84,3752.96,0.5508,55,1,0.0027,1.0,0.0,0,0.359,1.7399
payee_000157,NEW_ACCOUNT,0,31,21,893.8,988.04,0.6774,1,0,0.0,0.8627,0.0882,0,0.3169,0.9046
payee_000158,NEW_ACCOUNT,0,36,10,1912.89,2663.22,0.2778,6,0,0.0,0.7965,0.077,0,0.5477,0.7183
payee_000159,NEW_ACCOUNT,0,13,11,1629.64,765.78,0.8462,5,0,0.0,0.8768,0.0486,0,0.5891,2.1281
payee_000160,TRUSTED_MERCHANT,0,3254,4274,132603.73,7071.16,1.3135,2495,3,0.0007,0.9138,0.0,0,0.0935,18.7527
payee_000161,SUSPICIOUS_ACCOUNT,1,55,11,10966.75,8930.08,0.2,135,4,0.3636,0.6888,0.1701,4,0.6715,1.2281
payee_000162,NORMAL_USER,0,1759,112,11322.62,23562.83,0.0637,15,1,0.0089,0.907,0.0375,0,0.1128,0.4805
payee_000163,TRUSTED_MERCHANT,0,2650,14358,135505.67,18978.52,5.4181,4838,2,0.0001,0.9671,0.0,0,0.0609,7.1399
payee_000164,NORMAL_USER,0,235,109,10771.65,16763.38,0.4638,13,0,0.0,1.0,0.0192,0,0.33,0.6426
payee_000165,NORMAL_USER,0,650,130,53804.86,40662.62,0.2,26,0,0.0,0.9594,0.0254,0,0.0917,1.3232
payee_000166,REPORTED_LEGITIMATE,0,142,2188,45715.32,4658.17,15.4085,110,4,0.0018,0.9196,0.0929,0,0.2818,9.814
payee_000167,REPORTED_LEGITIMATE,0,964,1920,25063.17,3408.9,1.9917,168,2,0.001,1.0,0.0354,0,0.1933,7.3523
payee_000168,NORMAL_USER,0,742,132,7816.64,7831.36,0.1779,14,1,0.0076,0.905,0.0276,0,0.1418,0.9981
payee_000169,CONFIRMED_SCAM_LIKE,1,13,137,30331.24,26872.74,10.5385,249,10,0.073,0.4201,0.1959,3,0.5313,1.1287
payee_000170,NORMAL_USER,0,1991,160,18278.73,12486.58,0.0804,44,0,0.0,0.9434,0.0261,0,0.3309,1.4639
payee_000171,NORMAL_USER,0,516,157,9508.92,2241.19,0.3043,50,0,0.0,1.0,0.164,0,0.2085,4.2428
payee_000172,NORMAL_USER,0,1747,277,6736.25,45024.64,0.1586,45,0,0.0,0.8434,0.0947,0,0.1786,0.1496
payee_000173,SUSPICIOUS_ACCOUNT,1,86,28,12372.42,8376.46,0.3256,127,5,0.1786,0.578,0.2742,5,0.3748,1.477
payee_000174,TRUSTED_MERCHANT,0,2993,1001,203309.83,28751.65,0.3344,1497,2,0.002,0.9288,0.04,1,0.0663,7.0712
payee_000175,TRUSTED_MERCHANT,0,2681,17404,161304.34,30889.91,6.4916,4618,2,0.0001,1.0,0.0225,0,0.0756,5.2219
payee_000176,NORMAL_USER,0,935,277,36975.13,14653.87,0.2963,10,0,0.0,0.9518,0.0,0,0.1087,2.5232
payee_000177,CONFIRMED_SCAM_LIKE,1,28,53,19821.1,18699.08,1.8929,114,1,0.0189,0.6012,0.3608,5,0.9191,1.06
payee_000178,SUSPICIOUS_ACCOUNT,1,91,29,16073.98,12683.08,0.3187,143,3,0.1034,0.8392,0.1057,2,0.3918,1.2674
payee_000179,NEW_ACCOUNT,0,13,22,3999.41,4031.21,1.6923,7,0,0.0,0.8382,0.0448,0,0.3426,0.9921
payee_000180,SUSPICIOUS_ACCOUNT,1,94,198,10923.72,5716.5,2.1064,85,1,0.0051,0.7683,0.3495,2,0.3917,1.9109
payee_000181,SUSPICIOUS_ACCOUNT,1,88,151,16991.77,11291.1,1.7159,14,4,0.0265,0.717,0.3276,0,0.5668,1.5049
payee_000182,NORMAL_USER,0,95,216,5632.99,2621.18,2.2737,40,1,0.0046,1.0,0.0172,0,0.2309,2.149
payee_000183,NORMAL_USER,0,164,145,8723.05,6895.49,0.8841,45,0,0.0,1.0,0.0831,0,0.1224,1.265
payee_000184,NEW_ACCOUNT,0,15,7,295.13,3026.21,0.4667,1,1,0.1429,0.9365,0.0,0,0.2065,0.0975
payee_000185,NEW_ACCOUNT,0,20,17,1372.88,1331.1,0.85,8,0,0.0,0.7996,0.0277,0,0.4167,1.0314
payee_000186,NORMAL_USER,0,1382,92,14692.34,14024.9,0.0666,3,0,0.0,0.9529,0.0,1,0.3906,1.0476
payee_000187,TRUSTED_MERCHANT,0,1464,13271,186073.86,21262.38,9.0649,4039,1,0.0001,1.0,0.0739,2,0.0658,8.7513
payee_000188,NEW_ACCOUNT,0,34,14,4692.29,3823.36,0.4118,0,0,0.0,0.8784,0.0911,0,0.2983,1.2273
payee_000189,NORMAL_USER,0,265,363,12981.31,10547.44,1.3698,53,0,0.0,1.0,0.0,0,0.0896,1.2308
payee_000190,SUSPICIOUS_ACCOUNT,1,17,17,21760.3,16423.06,1.0,98,10,0.5882,0.6187,0.2435,0,0.3847,1.325
payee_000191,NORMAL_USER,0,1800,164,6128.66,14013.21,0.0911,52,0,0.0,0.9526,0.1684,1,0.3099,0.4373
payee_000192,TRUSTED_MERCHANT,0,2682,974,156232.23,11145.59,0.3632,4828,6,0.0062,1.0,0.0,0,0.0452,14.0174
payee_000193,REPORTED_LEGITIMATE,0,320,2045,38627.67,6105.21,6.3906,272,3,0.0015,0.9566,0.0561,0,0.1248,6.327
payee_000194,TRUSTED_MERCHANT,0,2991,15908,162302.39,34661.13,5.3186,816,2,0.0001,1.0,0.0,0,0.0413,4.6825
payee_000195,TRUSTED_MERCHANT,0,1354,6868,28506.8,2899.2,5.0724,1465,2,0.0003,1.0,0.0585,1,0.0472,9.8326
payee_000196,NORMAL_USER,0,979,58,13864.01,34428.88,0.0592,10,0,0.0,1.0,0.0235,0,0.123,0.4027
payee_000197,SUSPICIOUS_ACCOUNT,1,84,15,14087.35,9713.04,0.1786,17,4,0.2667,0.6731,0.2157,2,0.3744,1.4504
